method,python_mean_ms,native_mean_ms,speedup
SSA,13.92475,1.90555,7.30747
STD,0.154025,0.0239,6.444561
STDR,0.1753,0.017875,9.806993
MA_BASELINE,0.070325,0.0159,4.422956
MSSA,60.855525,22.90045,2.657394
VMD,47.85585,13.8121,3.464777
GABOR_CLUSTER,3.303675,0.181275,18.224659
