method,backend_used,trend_mean,trend_std,season_std,residual_rms,reconstruction_max_abs_error
STD,native,1.6683611111111112,1.0123335719032882,0.6723488220088165,3.146822174415173e-17,1.1102230246251565e-16
STDR,native,1.6683611111111112,1.0123335719032882,0.672324873726517,0.005629218623202896,8.881784197001252e-16
SSA,native,1.6709497549472645,1.0129138091871213,0.7051930245059811,0.1765938599407128,4.440892098500626e-16
STL,python,1.6686567406258506,1.0148781995889073,0.7288805814486161,0.001239283022987753,8.881784197001252e-16
