strategy,total_return,cagr,volatility,sharpe,max_drawdown,calmar,hit_rate,average_turnover,average_gross_exposure,fee_bps,slippage_bps,periods_per_year
classic_momentum_252_21_top,0.055927839765933074,0.033190832867243,0.05308365450888177,0.6416407318793446,-0.06622303046743616,0.5011977348811291,0.1595238095238095,0.010714285714285714,0.46785714285714286,1.0,2.0,252.0
detime_rotation_no_voltarget_ablation,0.052716372193992056,0.03130429485434849,0.07978252731597844,0.42627215771240856,-0.06986125069108884,0.44809239091308617,0.5071428571428571,0.02142857142857143,0.9904761904761905,1.0,2.0,252.0
detime_rotation_top_trend_cycle_residual_volume,0.054557722056737035,0.032386254796727076,0.11490272324267227,0.3349060337470017,-0.10405036688484304,0.31125555599981997,0.5071428571428571,0.03414358441256871,1.4532595656204543,1.0,2.0,252.0
detime_rotation_monthly_low_turnover,0.04987772381247946,0.02963484742845446,0.10439119441142918,0.3319932132787168,-0.09136727989187499,0.3243485793111566,0.5023809523809524,0.0373061333131595,1.35096762493925,1.0,2.0,252.0
buy_hold_equal_weight,0.033848570109008325,0.020173783611826535,0.07236589231609931,0.31227493052856814,-0.08306574668253064,0.24286525333876563,0.5095238095238095,0.0,1.0,1.0,2.0,252.0
classic_inverse_vol_equal_weight,0.010771968487712558,0.006449326402910849,0.10200241723793761,0.11418386212641222,-0.11461195943064217,0.0562709723745163,0.4785714285714286,0.012168748396646736,1.4142027899264382,1.0,2.0,252.0
classic_ma_trend_50_200_top,0.0019037776222921021,0.0011418320350258249,0.0932158759578183,0.0588670628857951,-0.10294542611162794,0.011091624738992188,0.3880952380952381,0.02142857142857143,1.1464285714285714,1.0,2.0,252.0
classic_momentum_63_top,-0.008844142064096894,-0.005315910446737848,0.103443305893109,0.00019103605997414637,-0.10031111275813842,-0.05299423264853134,0.41904761904761906,0.061049025142320267,1.2701893658154606,1.0,2.0,252.0
detime_rotation_long_short,-0.14274402773807737,-0.08826986065625497,0.08527767285517844,-1.0408343801430053,-0.15222907615845116,-0.5798488888179105,0.44761904761904764,0.042718338363561974,1.3544583349179118,1.0,2.0,252.0
