strategy,total_return,cagr,volatility,sharpe,max_drawdown,calmar,hit_rate,average_turnover,average_gross_exposure,fee_bps,slippage_bps,periods_per_year
classic_apo_10_40_reversion,0.243735347793804,0.115228832031258,0.0789716488982354,1.4207381889166364,-0.07515765139721287,1.5331616926434601,0.13095238095238096,0.015873015873015872,0.2261904761904762,1.0,2.0,252.0
detime_residual_band_1p25z,0.22662220757538654,0.10752977728609481,0.07380777231667256,1.4206538604636783,-0.047835840479147684,2.2478914598138724,0.14484126984126985,0.007936507936507936,0.25,1.0,2.0,252.0
classic_rsi_14_reversion,0.055292490995231924,0.027274301730181527,0.020707907607268282,1.3097899348400945,-0.0060926043191069645,4.476624494495207,0.011904761904761904,0.003968253968253968,0.015873015873015872,1.0,2.0,252.0
detime_residual_z_1p0_cycle_volume,0.17140923987570278,0.08231660796446372,0.0642777198027103,1.2626454040070778,-0.030224443557030467,2.7235111147419673,0.09523809523809523,0.007936507936507936,0.16666666666666666,1.0,2.0,252.0
detime_trend_pullback_residual,0.17140923987570278,0.08231660796446372,0.0642777198027103,1.2626454040070778,-0.030224443557030467,2.7235111147419673,0.09523809523809523,0.007936507936507936,0.16666666666666666,1.0,2.0,252.0
classic_price_zscore_63_1p5z,0.186440227182868,0.08923837023071668,0.07168191451824035,1.2284524371957082,-0.047886339691725954,1.8635454454276392,0.07738095238095238,0.01984126984126984,0.13095238095238096,1.0,2.0,252.0
classic_bollinger_20_2z,0.17011496888697897,0.08171852572052174,0.06747853254773808,1.1980455595802744,-0.047886339691725954,1.7065101706790398,0.07738095238095238,0.027777777777777776,0.11706349206349206,1.0,2.0,252.0
classic_volatility_breakout_20,0.1615419634477948,0.0777485622573546,0.12524595493057447,0.6607682456505982,-0.10687137644632605,0.7274965930321129,0.30753968253968256,0.06944444444444445,0.5813492063492064,1.0,2.0,252.0
detime_residual_rsi_14,0.059283544038032154,0.029215013511769694,0.046103061195441296,0.6476379588321426,-0.030224443557030467,0.9666021958896918,0.06547619047619048,0.011904761904761904,0.125,1.0,2.0,252.0
classic_donchian_55_20,0.06057135001454972,0.02984044881454806,0.09507094896820598,0.3567350224226401,-0.09616271561788026,0.3103120437355827,0.19246031746031747,0.021825396825396824,0.36507936507936506,1.0,2.0,252.0
classic_turtle_55_20_atr_cap,0.06057135001454972,0.02984044881454806,0.09507094896820598,0.3567350224226401,-0.09616271561788026,0.3103120437355827,0.19246031746031747,0.021825396825396824,0.36507936507936506,1.0,2.0,252.0
detime_turtle_55_20_volume_shock,0.01641129550311682,0.008172254876673835,0.07135710286835936,0.14982179640272614,-0.0905475250762644,0.09025376309060558,0.11507936507936507,0.017857142857142856,0.21428571428571427,1.0,2.0,252.0
detime_donchian_55_20_trend_cycle_volume,0.011585543878830817,0.005776090329667083,0.07139003783709316,0.11645243139176077,-0.0948654540263768,0.060887183737728945,0.11507936507936507,0.025793650793650792,0.21825396825396826,1.0,2.0,252.0
detime_breakout_trend_volume_no_cycle_ablation,0.011585543878830817,0.005776090329667083,0.07139003783709316,0.11645243139176077,-0.0948654540263768,0.060887183737728945,0.11507936507936507,0.025793650793650792,0.21825396825396826,1.0,2.0,252.0
classic_donchian_20_10,-0.060714268665204574,-0.030832454456508618,0.11898542759403964,-0.20334846783251787,-0.13910422353808616,-0.22165002379001683,0.24801587301587302,0.0496031746031746,0.4880952380952381,1.0,2.0,252.0
detime_donchian_20_10_trend_cycle_volume,-0.08459532675226433,-0.04323217380195332,0.07423223698050761,-0.5580410338979823,-0.15775493303517807,-0.2740464147153668,0.11706349206349206,0.057539682539682536,0.2400793650793651,1.0,2.0,252.0
