strategy,total_return,cagr,volatility,sharpe,max_drawdown,calmar,hit_rate,average_turnover,average_gross_exposure,fee_bps,slippage_bps,periods_per_year
classic_pair_ratio_zscore_120,0.04941568284665854,0.029362944129454505,0.024497453525339004,1.1936689192198164,-0.01795064192329776,1.6357601168203884,0.26666666666666666,0.0380952380952381,0.4928571428571429,1.0,2.0,252.0
classic_pair_spread_zscore_120,0.03837135933325819,0.022849225066928547,0.030185463728077157,0.7635678235243302,-0.03392603228631419,0.6735012474814497,0.40714285714285714,0.034492606935688085,0.7333333333333333,1.0,2.0,252.0
detime_spread_trend_drift_blocker,0.031561280905968436,0.018818962733534006,0.027270050584730355,0.6973355655753369,-0.02750525355085076,0.6841952101529316,0.29285714285714287,0.006046309268999038,0.5738095238095238,1.0,2.0,252.0
classic_pair_corr_filtered_zscore,0.01207065587293843,0.007225007215688528,0.028014365498288292,0.2709904083762506,-0.033926032286314745,0.2129635188316138,0.36666666666666664,0.02484262819616558,0.6714285714285714,1.0,2.0,252.0
detime_spread_residual_z,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,252.0
detime_spread_cycle_timed,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,252.0
