method,python_mean_ms,native_mean_ms,speedup
SSA,13.667625,1.9056,7.172347
STD,0.152525,0.023525,6.483528
STDR,0.17625,0.017775,9.915612
MA_BASELINE,0.070725,0.014825,4.770658
MSSA,70.039125,25.727025,2.722395
VMD,50.13955,14.48235,3.462114
GABOR_CLUSTER,2.694275,0.19515,13.806175
